Iteration,Network,Signal,MAC Address
13,"['eduroam', '-87', '38:90:A5:4D:6A:1E']"
13,"['Visit-Ed', '-84', '20:3A:07:85:59:52']"
13,"['eduroam', '-83', '20:3A:07:85:59:51']"
13,"['central', '-84', '38:90:A5:20:20:40']"
13,"['central', '-82', '38:90:A5:5A:11:1F']"
13,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
13,"['central', '-85', '20:3A:07:85:59:50']"
13,"['eduroam', '-86', '38:90:A5:20:31:B1']"
13,"['Visit-Ed', '-82', '38:90:A5:20:20:42']"
13,"['Visit-Ed', '-86', '38:90:A5:20:31:B2']"
13,"['Visit-Ed', '-92', '38:90:A5:20:20:4D']"
13,"['central', '-87', '38:90:A5:4D:6A:1F']"
13,"['SDProbots', '-85', '00:16:35:9D:4B:F3']"
13,"['central', '-79', '38:90:A5:5A:11:10']"
14,"['eduroam', '-67', '38:90:A5:19:EB:F1']"
14,"['SDProbots', '-43', '00:13:21:57:B4:67']"
14,"['central', '-67', '38:90:A5:19:EB:F0']"
14,"['Visit-Ed', '-67', '38:90:A5:19:EB:F3']"
14,"['eduroam', '-35', '38:90:A5:0D:33:31']"
14,"['SDProbots', '-75', '00:16:35:9D:2B:09']"
14,"['eduroam', '-70', '38:90:A5:19:EB:FE']"
14,"['central', '-70', '38:90:A5:19:EB:FF']"
14,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
14,"['eduroam', '-42', '38:90:A5:0D:33:3E']"
14,"['central', '-42', '38:90:A5:0D:33:3F']"
14,"['SDP_AT', '-42', '38:90:A5:0D:33:3D']"
14,"['SDProbots', '-82', '00:13:21:57:E4:EB']"
14,"['central', '-38', '38:90:A5:0D:33:30']"
14,"['SDP_AT', '-35', '38:90:A5:0D:33:32']"
14,"['SDProbots', '-83', '00:0D:9D:F6:12:77']"
14,"['eduroam', '-83', '38:90:A5:20:20:41']"
14,"['Visit-Ed', '-88', '38:90:A5:4D:6A:1C']"
14,"['SDP_AT', '-79', '38:90:A5:5A:11:12']"
14,"['eduroam', '-81', '38:90:A5:5A:11:11']"
14,"['eduroam', '-83', '38:90:A5:5A:11:1E']"
14,"['eduroam', '-87', '38:90:A5:4D:6A:1E']"
14,"['Visit-Ed', '-82', '20:3A:07:85:59:52']"
14,"['eduroam', '-83', '20:3A:07:85:59:51']"
14,"['central', '-84', '38:90:A5:20:20:40']"
14,"['central', '-82', '38:90:A5:5A:11:1F']"
14,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
14,"['central', '-85', '20:3A:07:85:59:50']"
14,"['eduroam', '-86', '38:90:A5:20:31:B1']"
14,"['Visit-Ed', '-82', '38:90:A5:20:20:42']"
14,"['Visit-Ed', '-86', '38:90:A5:20:31:B2']"
